last,first,votenum,votepct,district,namewhite,candidate,trump,trumppct
Jaros,Thomas,773,0.0022,6,0.9717,Paul,0,0.3011
Koppie,Tom,514,0.0015,6,0.95,Santorum,0,0.3011
Saake,Gary,506,0.0015,6,0.9769,Fiorina,0,0.3011
Kimme,Nancy,6671,0.119,7,0.959,Kasich,0,0.2876
Allison,Kreg,6234,0.1112,7,0.8301,Kasich,0,0.2876
Smithburg,William,5767,0.1028,7,0.9609,Kasich,0,0.2876
Trimble,Steve,5467,0.0975,7,0.8231,Trump,1,0.2876
Drobetsky,Lora,5426,0.0968,7,0.95,Trump,1,0.2876
Simpson,John,5231,0.0933,7,0.7329,Trump,1,0.2876
Reed,Kerrie,3717,0.0663,7,0.7351,Cruz,0,0.2876
Hammer,Joshua,3484,0.0621,7,0.9429,Cruz,0,0.2876
Zangrilli,James,2853,0.0509,7,0.9556,Cruz,0,0.2876
Gerson,Eloise,2672,0.0477,7,0.9242,Rubio,0,0.2876
Rolfes,Michael,2467,0.044,7,0.9815,Rubio,0,0.2876
Seyring,Brendan,2208,0.0394,7,0.9,Rubio,0,0.2876
Smith Donovan,Carol,476,0.0085,7,0.9459,Bush,0,0.2876
Thomas,Kathleen,455,0.0081,7,0.5553,Bush,0,0.2876
Timpone,Brian,382,0.0068,7,0.9872,Bush,0,0.2876
Lewandowski,Laura,296,0.0053,7,0.9729,Christie,0,0.2876
Austin,Grace,268,0.0048,7,0.6957,Paul,0,0.2876
Dechavez,Amanda,266,0.0047,7,0.0518,Carson,0,0.2876
Williams,Corinne,260,0.0046,7,0.4852,Fiorina,0,0.2876
McDonough,Thomas,249,0.0044,7,0.9719,Carson,0,0.2876
Guyett,Stephanie,210,0.0037,7,0.9711,Christie,0,0.2876
Schulte,Bruce,210,0.0037,7,0.974,Carson,0,0.2876
Malik,Kayte,204,0.0036,7,0.2987,Fiorina,0,0.2876
Grossi-Antweiler,Alberta,159,0.0028,7,0.9519,Paul,0,0.2876
Guyett,Douglas,155,0.0028,7,0.9711,Christie,0,0.2876
Segvich,Carl,151,0.0027,7,0.95,Santorum,0,0.2876
Halm,Jeff,135,0.0024,7,0.9098,Fiorina,0,0.2876
Donovan,Julie,23574,0.1377,8,0.9459,Trump,1,0.4054
Iosco,Anthony,23050,0.1346,8,0.95,Trump,1,0.4054
Kas,George,22793,0.1331,8,0.8533,Trump,1,0.4054
Tucker,Steven,14339,0.0838,8,0.7206,Cruz,0,0.4054
Medley,Brian,14033,0.082,8,0.7314,Cruz,0,0.4054
Dusenberry,Jason,13023,0.0761,8,0.9505,Cruz,0,0.4054
Moynihan,James,11923,0.0696,8,0.9653,Kasich,0,0.4054
Kozlowski,Kollin,11660,0.0681,8,0.9647,Kasich,0,0.4054
Langlotz-Johnson,Sharon,10375,0.0606,8,0.9871,Kasich,0,0.4054
Ruscitti,Darlene,5375,0.0314,8,0.9502,Rubio,0,0.4054
Adelizzi,Michael,5064,0.0296,8,0.9511,Rubio,0,0.4054
Trejo,Lee,4733,0.0276,8,0.0459,Rubio,0,0.4054
Fitzpatrick,Laura,1886,0.011,8,0.8712,Bush,0,0.4054
Hinds,Paul,1244,0.0073,8,0.6726,Bush,0,0.4054
Craig,Rodney,1091,0.0064,8,0.8117,Bush,0,0.4054
Christian,William,853,0.005,8,0.6969,Carson,0,0.4054
Lundgren,Michael,758,0.0044,8,0.9656,Carson,0,0.4054
Reboletti,Dennis,740,0.0043,8,0.95,Christie,0,0.4054
Miller,Margaret,623,0.0036,8,0.8581,Paul,0,0.4054
Wegman,Sandy,562,0.0033,8,0.9673,Fiorina,0,0.4054
Voss,Matthew,552,0.0032,8,0.9464,Christie,0,0.4054
Dagen,Jonathon,540,0.0032,8,0.8926,Carson,0,0.4054
Bernas,Jillian,477,0.0028,8,0.8258,Fiorina,0,0.4054
Mason,Leonard,412,0.0024,8,0.7099,Paul,0,0.4054
Tulo,Robert,409,0.0024,8,0.8,Christie,0,0.4054
Fatima,Alvina,369,0.0022,8,0.058,Paul,0,0.4054
Rickert,David,340,0.002,8,0.9667,Santorum,0,0.4054
Hoyert,Mark,239,0.0014,8,0.95,Fiorina,0,0.4054
Bronson,Daniel,172,0.001,8,0.7767,Santorum,0,0.4054
Carlson,Mari,20720,0.1138,10,0.9622,Trump,1,0.3357
Cummings,Eugene,20322,0.1116,10,0.7547,Trump,1,0.3357
Bednar,Bob,20095,0.1103,10,0.9687,Trump,1,0.3357
Sullivan,Edwin,19832,0.1089,10,0.8945,Kasich,0,0.3357
Peterson,Mark,19756,0.1085,10,0.8629,Kasich,0,0.3357
Stittgen,Gary,15743,0.0864,10,0.95,Cruz,0,0.3357
Sugrue,Dan,15570,0.0855,10,0.971,Cruz,0,0.3357
Amerantos,Peter,15229,0.0836,10,0.6,Kasich,0,0.3357
Curran,Mark,7881,0.0433,10,0.9645,Rubio,0,0.3357
Jesiel,Sheri,6028,0.0331,10,0.7,Rubio,0,0.3357
Perl,Sanford,5887,0.0323,10,0.9501,Rubio,0,0.3357
Lawlor,Aaron,2300,0.0126,10,0.9625,Bush,0,0.3357
Stuart,Alexander,1526,0.0084,10,0.8541,Bush,0,0.3357
Ross,David,1292,0.0071,10,0.7146,Fiorina,0,0.3357
Chi-Ross,Linda,1134,0.0062,10,0.1,Fiorina,0,0.3357
Waud,Reeve,1096,0.006,10,0.9669,Bush,0,0.3357
Donahue,Daniel,1044,0.0057,10,0.9376,Carson,0,0.3357
Mislinski,Joseph,997,0.0055,10,0.95,Christie,0,0.3357
Murbach,Linda,786,0.0043,10,0.9375,Carson,0,0.3357
Curtis,Jane,779,0.0043,10,0.7988,Christie,0,0.3357
Curtis,James,750,0.0041,10,0.7988,Christie,0,0.3357
Miller,Dale,713,0.0039,10,0.8581,Fiorina,0,0.3357
Roti,Lisa,700,0.0038,10,0.9694,Carson,0,0.3357
Moran,Jim,609,0.0033,10,0.7143,Paul,0,0.3357
Collins,Phil,500,0.0027,10,0.7392,Gilmore,0,0.3357
Sachs,Adam,474,0.0026,10,0.9563,Paul,0,0.3357
Arriaza,Carl,383,0.0021,10,0.0481,Paul,0,0.3357
McInerney,Jack,22962,0.1234,11,0.9692,Trump,1,0.363
Anderson,Anthony,22332,0.12,11,0.776,Trump,1,0.363
Kochan,Laura,22255,0.1196,11,0.9735,Trump,1,0.363
Norris,James,16076,0.0864,11,0.8201,Cruz,0,0.363
Orlando,Steven,16061,0.0863,11,0.9152,Cruz,0,0.363
Bolton,Yvonne,15953,0.0857,11,0.7555,Cruz,0,0.363
Mayer,William,14526,0.0781,11,0.9455,Kasich,0,0.363
Noak,John,13990,0.0752,11,0.9014,Kasich,0,0.363
Starr,Matthew,13593,0.0731,11,0.8535,Kasich,0,0.363
Abbate,Kathleen,5899,0.0317,11,0.9555,Rubio,0,0.363
Coyne,Kevin,5846,0.0314,11,0.9662,Rubio,0,0.363
Fernandez,Eduardo,5051,0.0271,11,0.1135,Rubio,0,0.363
Claar,Roger,1402,0.0075,11,0.9433,Bush,0,0.363
Schillerstrom,Robert,1267,0.0068,11,0.99,Bush,0,0.363
Pritchard,Karen,1168,0.0063,11,0.9034,Carson,0,0.363
Johnson,Mark,1104,0.0059,11,0.6155,Carson,0,0.363
Bergman,Jay,899,0.0048,11,0.9587,Bush,0,0.363
Diedrick,Marlene,764,0.0041,11,0.8997,Christie,0,0.363
Smith,Christian,758,0.0041,11,0.7335,Huckabee,0,0.363
Jovanovic,Dragan,752,0.004,11,0.9313,Carson,0,0.363
Kallevik,Annette,684,0.0037,11,0.95,Christie,0,0.363
Diedrick,George,625,0.0034,11,0.8997,Christie,0,0.363
Santucci,Paul,597,0.0032,11,0.9553,Fiorina,0,0.363
Moore,Jeffrey,554,0.003,11,0.6885,Paul,0,0.363
Hummel,Thomas,510,0.0027,11,0.9721,Paul,0,0.363
Clark,Jeff,426,0.0023,11,0.7684,Fiorina,0,0.363
Chaney,Nathan,30891,0.1379,12,0.7358,Trump,1,0.4023
Kozanecki,Stella,29653,0.1323,12,0.95,Trump,1,0.4023
Underwood,Herb,29603,0.1321,12,0.81,Trump,1,0.4023
Minor,Mark,26695,0.1191,12,0.5759,Cruz,0,0.4023
Langenstein,Sharee,26364,0.1177,12,0.9406,Cruz,0,0.4023
Lindemann,Clifford,24475,0.1092,12,0.9645,Cruz,0,0.4023
Rodely,Michelle,7855,0.0351,12,0.95,Kasich,0,0.4023
McRae,Thomas,7824,0.0349,12,0.5497,Kasich,0,0.4023
Hastings,Alan,7370,0.0329,12,0.9132,Kasich,0,0.4023
Bryant,Terri,7134,0.0318,12,0.6097,Rubio,0,0.4023
Slusser,Chris,4756,0.0212,12,0.9699,Rubio,0,0.4023
Akin,Travis,4461,0.0199,12,0.9211,Rubio,0,0.4023
Sholar,Amy,2335,0.0104,12,0.7734,Bush,0,0.4023
Obernagel,George,2240,0.01,12,0.99,Bush,0,0.4023
Campos,Gloria,2182,0.0097,12,0.0755,Bush,0,0.4023
Evans,Michael,2034,0.0091,12,0.7065,Carson,0,0.4023
Pittman,Gloria,1486,0.0066,12,0.6635,Carson,0,0.4023
Jewell,Brandi,1323,0.0059,12,0.8958,Carson,0,0.4023
Dohm,Jennifer,859,0.0038,12,0.9801,Christie,0,0.4023
Knight,Richard,818,0.0037,12,0.7479,Christie,0,0.4023
Hamilton,Sue,726,0.0032,12,0.7279,Fiorina,0,0.4023
Throgmorton,Dustin,600,0.0027,12,0.9694,Paul,0,0.4023
Dohm,Adam,586,0.0026,12,0.9801,Christie,0,0.4023
Johnson,Devin,490,0.0022,12,0.6155,Paul,0,0.4023
Crotser,Jonathan,483,0.0022,12,0.9939,Paul,0,0.4023
Fulk,Robert,418,0.0019,12,0.9646,Fiorina,0,0.4023
Albert,Scott,409,0.0018,12,0.8036,Fiorina,0,0.4023
Hartmann,Doug,31937,0.1234,13,0.9669,Trump,1,0.3268
Kammer,James,30588,0.1182,13,0.9711,Cruz,0,0.3268
Strang,Mark,30341,0.1173,13,0.9448,Cruz,0,0.3268
Kammer,Nicholas,28608,0.1106,13,0.9711,Cruz,0,0.3268
Gauen,Toni,28337,0.1095,13,0.9561,Trump,1,0.3268
Sadiq,Raja,24303,0.0939,13,0.1642,Trump,1,0.3268
Breheny,Kevin,12823,0.0496,13,0.9397,Kasich,0,0.3268
Jobe,Cory,12521,0.0484,13,0.869,Kasich,0,0.3268
Farney,John,12243,0.0473,13,0.962,Kasich,0,0.3268
Johnson,Tim,8627,0.0333,13,0.6155,Rubio,0,0.3268
McCormick,Michael,6847,0.0265,13,0.891,Rubio,0,0.3268
Hertel,Roy,6242,0.0241,13,0.9655,Rubio,0,0.3268
Brown,Adam,5160,0.0199,13,0.6071,Bush,0,0.3268
Hulten,Gordy,2899,0.0112,13,0.9144,Bush,0,0.3268
Davis,Martin,2654,0.0103,13,0.6473,Bush,0,0.3268
Gant Reynolds,Susan,2508,0.0097,13,0.95,Carson,0,0.3268
Elder,John,2400,0.0093,13,0.8067,Carson,0,0.3268
King,Stuart,2091,0.0081,13,0.728,Carson,0,0.3268
Williamson,Kristin,1384,0.0053,13,0.7922,Christie,0,0.3268
Ballard,Mark,1302,0.005,13,0.7729,Christie,0,0.3268
Dykstra,Joan,1091,0.0042,13,0.9669,Fiorina,0,0.3268
Floreth,Frederick,963,0.0037,13,0.95,Paul,0,0.3268
Stanek,Gregory,797,0.0031,13,0.9711,Christie,0,0.3268
Giertz,Donna,783,0.003,13,0.9881,Fiorina,0,0.3268
Bambenek,John,781,0.003,13,0.9663,Paul,0,0.3268
Deutsch,Al,478,0.0018,13,0.9639,Fiorina,0,0.3268
Bockay,Chris,34924,0.1214,14,0.95,Trump,1,0.3601
Christl,Linda,34632,0.1204,14,0.9461,Trump,1,0.3601
Burnette,Andera,34024,0.1183,14,0.7579,Trump,1,0.3601
Fritz,Gretchen,25258,0.0878,14,0.9465,Cruz,0,0.3601
Kern,Chuck,24818,0.0863,14,0.9476,Cruz,0,0.3601
Rooney,Steve,24499,0.0852,14,0.9559,Cruz,0,0.3601
Gryder,Scott,20358,0.0708,14,0.9486,Kasich,0,0.3601
Prochaska,Matthew,18907,0.0657,14,0.9753,Kasich,0,0.3601
Krishnasri Chakka,Vasavi,17708,0.0616,14,0,Kasich,0,0.3601
Oberweis,Jim,12437,0.0432,14,0.95,Rubio,0,0.3601
Wheeler,Barbara,9046,0.0315,14,0.8279,Rubio,0,0.3601
Batinick,Mark,8443,0.0294,14,0.95,Rubio,0,0.3601
Cross,Tom,6583,0.0229,14,0.7768,Bush,0,0.3601
Keating,Gerard,2126,0.0074,14,0.957,Bush,0,0.3601
Salvi,Kathleen,1350,0.0047,14,0.8163,Santorum,0,0.3601
Von Keudell,Connie,1333,0.0046,14,0.95,Carson,0,0.3601
Faville,Andrew,1323,0.0046,14,0.9784,Bush,0,0.3601
Bond,Stanton,1314,0.0046,14,0.7818,Carson,0,0.3601
Wyatt,Gabriela,1251,0.0044,14,0.7788,Carson,0,0.3601
Lang,Sharon,1248,0.0043,14,0.8416,Christie,0,0.3601
Geary,Kevin,897,0.0031,14,0.9341,Fiorina,0,0.3601
Stuebner,Thomas,804,0.0028,14,0.9537,Christie,0,0.3601
Hendricks,Eric,746,0.0026,14,0.7817,Paul,0,0.3601
Mazur,John,727,0.0025,14,0.9671,Paul,0,0.3601
Smyk,Michael,713,0.0025,14,0.9904,Paul,0,0.3601
Wintermute,Terri,677,0.0024,14,0.9701,Fiorina,0,0.3601
Dziuban,Richard,535,0.0019,14,0.9762,Christie,0,0.3601
Myslinski,Mark,517,0.0018,14,0.9763,Fiorina,0,0.3601
Napier,Irene,373,0.0013,14,0.8593,Santorum,0,0.3601
Chapman,Philip,45387,0.1323,15,0.8157,Trump,1,0.3772
Rose,Chapin,44511,0.1298,15,0.8423,Cruz,0,0.3772
Hough,Maria,42363,0.1235,15,0.8573,Trump,1,0.3772
Stratemeyer,Sam,41642,0.1214,15,0.9641,Trump,1,0.3772
Milleville,Brian,39608,0.1155,15,0.9956,Cruz,0,0.3772
Heal,Loren,36124,0.1053,15,0.702,Cruz,0,0.3772
O'Shaughnessy,Patrick,12598,0.0367,15,0.99,Kasich,0,0.3772
Schultz,James,12594,0.0367,15,0.9624,Kasich,0,0.3772
Righter,Dale,12026,0.0351,15,0.9428,Rubio,0,0.3772
Stephenson,Kristina,11934,0.0348,15,0.8302,Kasich,0,0.3772
Plummer,Jason,7878,0.023,15,0.7162,Rubio,0,0.3772
Winchester,Bob,6940,0.0202,15,0.8132,Rubio,0,0.3772
Albin,David,5123,0.0149,15,0.935,Bush,0,0.3772
Myers,Jean,3645,0.0106,15,0.8659,Bush,0,0.3772
Phillips,Reginald,3388,0.0099,15,0.7895,Carson,0,0.3772
Warfel,Linden,2883,0.0084,15,0.9745,Carson,0,0.3772
Adomite,Allen,2492,0.0073,15,0.8,Bush,0,0.3772
Johnson,Diante,2391,0.007,15,0.6155,Carson,0,0.3772
Starbuck,Kristi,1892,0.0055,15,0.9479,Christie,0,0.3772
Judge,Joseph,1632,0.0048,15,0.7964,Christie,0,0.3772
Swan,Kathryn,1361,0.004,15,0.8175,Fiorina,0,0.3772
Green,Jesse,1145,0.0033,15,0.5933,Paul,0,0.3772
Acton,Charles,1127,0.0033,15,0.9428,Christie,0,0.3772
Vonderheide,Joe,1014,0.003,15,0.982,Paul,0,0.3772
Gee,Julie,741,0.0022,15,0.5578,Fiorina,0,0.3772
Gee,Grant,587,0.0017,15,0.5578,Fiorina,0,0.3772
Bivins,Tim,38270,0.1253,16,0.545,Cruz,0,0.3185
Miller,Eric,34214,0.112,16,0.8581,Trump,1,0.3185
Doyle,Tracy,34138,0.1118,16,0.9074,Trump,1,0.3185
Klaas,Jan,33247,0.1089,16,0.9756,Cruz,0,0.3185
Coven,Steven,31427,0.1029,16,0.896,Cruz,0,0.3185
Blissenbach,Michael,28915,0.0947,16,0.9404,Trump,1,0.3185
Kinzinger,Adam,19250,0.063,16,0.9826,Bush,0,0.3185
Syverson,David,17705,0.058,16,0.9715,Kasich,0,0.3185
Demmer,Thomas,15024,0.0492,16,0.9544,Kasich,0,0.3185
Gabor,Brian,13575,0.0445,16,0.9171,Kasich,0,0.3185
Ewing,Thomas,7545,0.0247,16,0.7868,Rubio,0,0.3185
Freitag,Ragan,5648,0.0185,16,0.9585,Rubio,0,0.3185
Oltmanns,Zachary,5203,0.017,16,0.9758,Rubio,0,0.3185
Rezin,Susan,4773,0.0156,16,0.9847,Bush,0,0.3185
Sebby,Patricia,2291,0.0075,16,0.941,Carson,0,0.3185
Johnson,Lauren,2247,0.0074,16,0.6155,Bush,0,0.3185
Wynn Bence,Susan,2064,0.0068,16,0.9303,Carson,0,0.3185
Gerwin,Carolyn,1898,0.0062,16,0.9471,Carson,0,0.3185
McGlasson,John,1036,0.0034,16,0.9242,Christie,0,0.3185
Rayman,Daniel,841,0.0028,16,0.9423,Christie,0,0.3185
Sauceda,Robert,838,0.0027,16,0.0628,Paul,0,0.3185
Vickrey,Robert,821,0.0027,16,0.9572,Christie,0,0.3185
Fulkerson,Zack,774,0.0025,16,0.9595,Paul,0,0.3185
Graff,Susan,768,0.0025,16,0.9637,Santorum,0,0.3185
Flessner,Rick,748,0.0024,16,0.9891,Fiorina,0,0.3185
